estacion,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,provincia,region,latitud,longitud,altura,oaci,nro
base_marambio,5,,89.54545454545455,5.0,,-11.9,-7.4,-16.1,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,6,,89.38181818181819,5.1,,-14.9,-10.7,-18.7,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,7,,89.21818181818182,4.8,,-14.9,-10.3,-19.3,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,8,,89.05454545454546,5.0,,-13.8,-9.3,-18.1,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,9,,88.89090909090909,5.3,,-10.6,-6.1,-14.8,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,10,,88.72727272727273,5.7,,-7.3,-3.6,-11.0,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,11,,88.56363636363636,6.2,,-3.4,-0.4,-6.2,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_marambio,12,,88.4,6.3,,-1.3,1.3,-3.7,ANTARTIDA,Antártida,-64.23333333333333,-56.61666666666667,198.0,SAWB,89055.0
base_orcadas,1,,87.1,7.5,,1.3,3.6,-0.7,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,2,,87.2,7.4,,1.4,3.4,-0.4,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,3,,88.0,7.2,,0.3,2.4,-1.6,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,4,,87.83333333333333,7.2,,-1.8,0.4,-4.1,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,5,,87.66666666666667,6.8,,-5.0,-2.0,-8.1,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,6,,87.5,6.6,,-7.5,-3.9,-11.3,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
